Row_ID,Player_Name,Team,Season,Venue,Pitch_Type,Match_Result,Batting_Position,Batting_Style,Runs_Scored,Balls_Faced,Strike_Rate,Fours_Hit,Sixes_Hit,Dot_Balls,Boundary_Runs,Boundary_Pct,PP_Runs,Middle_Runs,Death_Runs,PP_Strike_Rate,Middle_SR,Death_SR,Consistency_Index,Impact_Score,Performance_Tier,Aggression_Index
1,Faf du Plessis,MI,2019,"M. Chinnaswamy, Bangalore",Flat/Batting,Won,Top Order (3),Finisher,27,17,158.82,2,3,4,26,96.3,5,12,10,135.99,178.69,193.6,0.465,0.774,Average,0.7474
2,Prithvi Shaw,KKR,2019,"Sawai Mansingh, Jaipur",High-Scoring,Lost,Lower Middle (6-7),Power Hitter,32,19,168.42,2,3,1,26,81.25,10,11,11,139.61,176.71,179.64,0.296,0.823,Good,0.7091
3,Hardik Pandya,KKR,2018,"Rajiv Gandhi Intl, Hyderabad",Flat/Batting,Lost,Opener,Finisher,39,25,156.0,2,0,6,8,20.51,14,13,12,141.16,145.99,172.42,0.442,0.664,Good,0.1248
4,Nicholas Pooran,CSK,2024,"Brabourne Stadium, Mumbai",Seaming,Won,Middle Order (4-5),Power Hitter,50,29,172.41,1,4,4,28,56.0,14,20,16,134.88,174.95,212.57,0.581,0.937,Elite,0.5351
5,Devdutt Padikkal,CSK,2021,"Arun Jaitley, Delhi",Spin-Friendly,Lost,Middle Order (4-5),All-Round,28,21,133.33,1,1,6,10,35.71,7,11,10,140.06,142.86,151.0,0.428,0.582,Average,0.1905
6,Rishabh Pant,LSG,2021,"Rajiv Gandhi Intl, Hyderabad",Seaming,Won,Top Order (3),Anchor,35,25,140.0,3,0,8,12,34.29,16,14,5,100.81,117.22,115.87,0.335,0.62,Good,0.168
7,AB de Villiers,PBKS,2019,"Brabourne Stadium, Mumbai",Seaming,Won,Opener,Finisher,31,16,193.75,1,3,5,22,70.97,13,12,6,129.82,154.46,209.54,0.1,0.875,Good,0.8477
8,Quinton de Kock,LSG,2023,"Brabourne Stadium, Mumbai",Slow/Low,Lost,Middle Order (4-5),Power Hitter,36,20,180.0,2,3,1,26,72.22,17,12,7,176.97,164.23,181.63,0.46,0.874,Good,0.72
9,Faf du Plessis,RCB,2022,"Eden Gardens, Kolkata",Slow/Low,Lost,Lower Middle (6-7),Anchor,38,30,126.67,1,1,11,10,26.32,16,18,4,122.53,109.47,131.45,0.479,0.602,Good,0.1267
10,Faf du Plessis,LSG,2018,"MA Chidambaram, Chennai",Slow/Low,Won,Middle Order (4-5),Finisher,4,2,200.0,2,2,0,20,500.0,1,1,2,134.36,142.97,175.02,0.623,0.756,Below Average,6.0
11,Sanju Samson,LSG,2024,"Punjab Cricket Assoc, Mohali",High-Scoring,Won,Middle Order (4-5),Aggressive,68,41,165.85,3,2,5,24,35.29,19,20,29,143.6,160.9,233.26,0.515,0.93,Elite,0.2832
12,Rohit Sharma,GT,2018,"Eden Gardens, Kolkata",Seaming,Lost,Lower Middle (6-7),Finisher,25,16,156.25,0,3,5,18,72.0,6,11,8,160.54,133.97,189.99,0.944,0.719,Average,0.5859
13,Ruturaj Gaikwad,LSG,2023,"Sawai Mansingh, Jaipur",High-Scoring,Won,Top Order (3),Anchor,16,14,114.29,2,0,3,8,50.0,6,5,5,109.03,106.21,169.0,0.409,0.447,Average,0.1633
14,Shreyas Iyer,DC,2021,"Punjab Cricket Assoc, Mohali",Slow/Low,Won,Middle Order (4-5),All-Round,25,16,156.25,1,2,6,16,64.0,8,8,9,128.1,149.66,133.96,0.312,0.689,Average,0.4883
15,Rohit Sharma,CSK,2018,"Wankhede Stadium, Mumbai",Seaming,Won,Top Order (3),Aggressive,44,26,169.23,3,2,5,24,54.55,10,21,13,147.48,164.4,169.71,0.886,0.844,Good,0.4556
16,Manish Pandey,GT,2024,"Sawai Mansingh, Jaipur",Slow/Low,Won,Top Order (3),All-Round,36,30,120.0,3,0,11,12,33.33,10,16,10,138.65,144.19,175.14,0.891,0.564,Good,0.12
17,Shubman Gill,CSK,2023,"Arun Jaitley, Delhi",Flat/Batting,Won,Lower Middle (6-7),Aggressive,30,21,142.86,2,1,5,14,46.67,14,12,4,149.12,160.2,213.07,0.502,0.639,Good,0.2721
18,Ruturaj Gaikwad,RR,2018,"Punjab Cricket Assoc, Mohali",Flat/Batting,Won,Opener,Power Hitter,63,33,190.91,1,1,9,10,15.87,30,30,3,151.45,182.71,207.26,0.537,0.895,Elite,0.1736
